word,classification,confidence,reason,layer,manual_verdict,manual_category
निकदाओ,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — non-standard verb form, likely ASR error for 'निकालो'"
कुचे,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — dialect word meaning 'narrow lanes' (कूचे), valid Urdu/Hindi"
हुउउउ,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — elongated filler sound (ASR artifact of 'हूँ' or 'हुह')"
सेलेंडर,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling of 'सिलेंडर' (cylinder) — vowel error ए→इ"
थू,correct,low,Short pure-Devanagari word (likely valid verb form or particle),short_word,correct,"Correct — exclamation expressing disgust (थू-थू)"
टेंस्ड,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'tensed' transliterated into Devanagari"
ब्लिंक,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'blink' transliterated"
पैमो,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,incorrect,"Misspelling — non-standard form, possibly garbled 'पैसों' or 'पैमाने'"
खुशनसीब,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — compound word 'खुशनसीब' (fortunate), valid Hindi/Urdu"
कुलदीप,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — proper noun (person's name)"
तरसाने,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — causative form of 'तरसना' (to pine/yearn)"
देओल,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — proper noun (surname, e.g., Sunny Deol)"
आई-टु-आई,incorrect,low,"Not found in dictionary — possibly misspelling, dialect, proper noun, or rare word",unknown_devanagari,correct,"Correct — English 'eye-to-eye' transliterated with hyphens"
