reference,prediction,wer,stratum
जिसके परिणामस्वरूप मंच पर कलाकार गांजे भरी सिगरटें पीते हैं और ये थिएटर खुद दर्शकों को भी इसमें साथ शामिल होने के लिए प्रेरित करते हैं,जिसके परढ़ाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजाजा,0.9615384615384616,Very High (WER > 0.8)
11 35 बजे अग्नि बचाव दल ने अंततः आग बुझा दी थी,गेरा पैसालीस बजे अगने बचावदल ने अंत तह आप बुजा रही थी,0.8333333333333334,Very High (WER > 0.8)
उन्होंने अफवाहों को राजनीतिक बकवास और मूर्खतापूर्ण कहा,उहने ना खुआ वो को राजनी तिख बबास और मुझव तपना कहा,1.125,Very High (WER > 0.8)
सावधान रहें कि कपड़े को बहुत गर्म न होने दें जो सिकुड़न का कारण बन सकता है या बहुत गरम होने पर जल सकता है,सावधान रही कि कपड़े को बहुत गरम ना होनी दे चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो चलो �,2.0,Very High (WER > 0.8)
यू.एस. कॉर्प्स ऑफ़ इंजीनियर्स ने अंदाजा लगाया कि 6 इंच बारिश पहले से क्षतिग्रस्त बांधों को तोड़ सकती है,जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी जी ज,3.8947368421052633,Very High (WER > 0.8)
पुरुषों के स्टैंडिंग सुपर जी में ऑस्ट्रेलिया के मिशेल गौरले ग्यारहवें स्थान पर रहे चेक प्रतियोगी ओल्डरिच जेलिनेक पुरुषों के सिटिंग सुपर जी में सोलहवें स्थान पर रहे,पूरुशों के स्टैंडिंग सुपरजी में आस्टरेलिया के मिशल गौरले ग्यार में स्थान पर रहे चक्ष प्रतियोगी ऑलडरिच जैलिमनेक पूरुशों के सिट्टिंग सुपरजी में सोल में स्थान पर रहे,0.5714285714285714,High (0.5 < WER ≤ 0.8)
अटलांटिक तूफ़ान मौसम का दसवां तूफ़ान उपोष्णकटिबंधीय तूफ़ान जेरी आज अटलांटिक महासागर में बना है,अटलांटिक तुफान मौसम का दस्वा तुफान उपोष्ण न कटिवंदीद तुफान जे रही हाज अटलांटिक महार्शागर में बना है,0.7333333333333333,High (0.5 < WER ≤ 0.8)
गीज़ा पठार गीज़ा नेक्रोपोलिस” या मृतकों की मिस्र की घाटी में कई पिरामिड जिनमें से द ग्रेट पिरामिड सबसे बड़ा है कई छोटी कब्रें कई मंदिर और महान स्फिंक्स हैं,गीजा पठार गीजा नेक्रोपोलस या म्रित्को की मिश्रन की घाटी में कई पिरामएड कई छोटी कबरें कई मंदर और महान स्फिंग्स हैं,0.5666666666666667,High (0.5 < WER ≤ 0.8)
1963 में बांध बनने के बाद मौसमी बाढ़ जो पूरे नदी में तलछट फैला देगी वह रुक गई थी,उन्नीस सहत्यूत सट में बांद बनाने के बाद मौस्मी बाड जो पूरी नदी में तलचट फैला दे की वहरुप कई थी,0.6842105263157895,High (0.5 < WER ≤ 0.8)
रणनीति महत्वपूर्ण सैन्य और असैन्य आपूर्ति को काटते हुए प्रभावी साबित हुई हालांकि इस नाकाबंदी ने पिछले दो शताब्दियों के कई अंतरराष्ट्रीय समझौतों द्वारा आमतौर पर स्वीकृत अंतर्राष्ट्रीय कानून का उल्लंघन किया,रण्नित्य महत्वपोर्ण सहन और असहन ने आपूर्ति को कार्थे हुए प्रभावि सावित हुई हाला कि इस नाकावंदिश ने पिचले दो स्वादियों के कई अंतर्याश्ट्री समझोतो द्वारा आम तौर पर स्विक्रित अंतर्याश्ट्रे कानुन का अलंगण किया,0.65625,High (0.5 < WER ≤ 0.8)
