audio_path,raw_asr,after_cleanup
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0000.wav, अपने ताई बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो,अपने ताई बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो बज्बागी स्वादे जीवन का सबसी सुनेरा वो
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0001.wav, अगर तो जमएदारिया भी नहीं हुती हैं और उगर उगर हुती हैं हुती हैं मस्ती बर्पूर हुती हैं जित्री आमको मस्ती करनी अत्री करो जमएदारिया कोई बड़न नहीं हुता,अगर तो जमएदारिया भी नहीं हुती हैं और उगर उगर हुती हैं हुती हैं मस्ती बर्पूर हुती हैं जित्री आमको मस्ती करनी अत्री करो जमएदारिया कोई बड़न नहीं हुता
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0002.wav, अपको जुकरना जुकरना जुकरना सर्प अब उसर्प ये काम आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ�,अपको जुकरना जुकरना जुकरना सर्प अब उसर्प ये काम आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ�
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0003.wav, अगर बादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया,अगर बादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया वादिया
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0004.wav, भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ,भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भी भ
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0005.wav, अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0006.wav, अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर �
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0007.wav, आप,आप
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0009.wav, जी सर प्ल्प्ल्प्वोग रही तो बहमारी शरार दे तो बहुत आँज ज़ा न ज़ा न बारे ग तीचर वुगा गर थे अमको उ शाँईज प्शाइज प्राते थे तो गय उ तोडे एज़ थे तो आप,जी सर प्ल्प्ल्प्वोग रही तो बहमारी शरार दे तो बहुत आँज ज़ा न ज़ा न बारे ग तीचर वुगा गर थे अमको उ शाँईज प्शाइज प्राते थे तो गय उ तोडे एज़ थे तो आप
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0010.wav, अपने लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ा�,अपने लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ाँ लिए ख़ा�
c:\Users\rajee\OneDrive\Desktop\JoshTech tasks\data\processed\segments\1020918\1020918_seg0011.wav, अपको अपको अपको तो कुछ सवल में नहीं आरा के ख़ा पहाते हैं तो हमार की सीने सुनी नहीं उनके वह प्यकल्ती वे नहीं ती अप जो ती वो पहारे रहे थे तो हम सभी नहीं एक एसा गो बनाया की,अपको अपको अपको तो कुछ सवल में नहीं आरा के ख़ा पहाते हैं तो हमार की सीने सुनी नहीं उनके वह प्यकल्ती वे नहीं ती अप जो ती वो पहारे रहे थे तो हम सभी नहीं 1 एसा गो बनाया की
