segment_url_link,Human,Model H,Model i,Model k,Model l,Model m,Model n,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_1726922_866.16_868.20.wav,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या,वही अपना खेती बाड़ी और क्या?,वही अपना खेती बाड़ी और क्या,वही अपना खेतीबाड़ी और क्या,वही अपना खेती बाड़ी और क्या,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2052946_52.62_54.36.wav,मौनता का अर्थ क्या होता है,मौनता का अर्थ क्या होता है,मौनता का अर्थ क्या होता है?,मौन तागार थके होतई।,मोनता का अर्थ है क्या होता है,मोन ताका हर थक्या होताहए,मौनता का हर थका होता है,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2054042_186.66_189.27.wav,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को,और रक्षाबंधन पे चलो बहनों को --,और रक्षाबंधन पे चलो बहनों को?,और रक्षाबंधन पे चलो बहनों को,और रक्षा बंधन पे चलो बहनों को,और रक्षा बंधन पे चलो बहनों को,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_2059414_678.27_680.07.wav,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में।,एक सिंपल और सादा वे में?,एक सिंपल और सादावे में,एक सिंपल और सादा वे में,एक सिंपल और सादा वे में,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_292958_499.83_502.32.wav,आने वाली चुनौतियों  का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,आने वाली चुनौतियों का इंतजार करना।,आने वाली चुनौतियों का इंतजार करना?,आने वाली चुनौतियों का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,आने वाली चुनौतियों का इंतजार करना,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_41359_476.04_478.23.wav,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना,अचानक आई मुश्किलों का सामना करना।,अचानक आई मुश्किलों का सामना करना,अچانक आی مुश्कلوں का सاमنा करنा,अचानक आई मुश्किलों का सामना करना है,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_439044_464.37_466.47.wav,सर आपकी इच्छा जय सियाराम,सर आपकी इच्छा जय श्री आराम,सर आपकी इच्छा जय सियाराम,sir आपकी इच्छा। जय सिया राम!,सर आपकी इच्छा जय शिय राम,सर आपकी इच्छा जैसी आराम,सर आपकी इच्छा जय सी आराम,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_487624_1037.94_1041.27.wav,जी फीडबैक मिलने  पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,जी feedback मिलने पर सुधार करना।,ज फिडबऐक मिलने पर सुधार करना,जी फीडबैक मिलने पर सुधार करना,फीडबैक मिलने पर सुधार करना,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_549122_687.60_689.40.wav,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं।,जो एक महत्वपूर्ण भूमिका निभाते हैं।,जो एक महत्वपूर्ण भूमिका निभाते हैं,जो एक मह्त्वपूर्ण भूमिका निभाते हैं,जो एक महत्वपूर्ण भूमिका निभाते हैं, 
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_580286_74.16_76.35.wav,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना।,जीवन की चुनौतियों का सामना करना।,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,जीवन की चुनौतियों का सामना करना,
https://storage.googleapis.com/testing_audio_for_josh/bcmk_TR/hindi/ch_696260_203.52_205.56.wav,हम्म बहुत प्योर हार्ट रहता है सबका,बहुत प्योर हार्ट रहता है सबका,हम्म बहुत प्योर हार्ट रहता है सबका।,बहुत pure heart रहता है सबका।,बहुत पूरे हार्ट रहता है सबका,बहुत प्योर हाट रहता है सबका,बहुत प्योर हार्ट रहता है सबका,
